seedId,canonicalReviewTitle,selectedMergeGroupId,selectedCanonicalTitle,method,matchedBy,reason
seed-0017-百合男子,百合男子,mgv2-00287-百合男子,百合男子,exact_normalized_title_unique,title:百合男子,unique exact normalized title match
seed-0018-彩純ちゃんはレズ風俗に興味があります-1,彩純ちゃんはレズ風俗に興味があります!: 1,mgv2-01168-彩純ちゃんはレズ風俗に興味があります-1,彩純ちゃんはレズ風俗に興味があります!: 1,exact_normalized_title_unique,title:彩純ちゃんはレズ風俗に興味があります!: 1,unique exact normalized title match
seed-0019-插足百合的男人不如去死,插足百合的男人不如去死!?,mgv2-00984-插足百合的男人不如去死,插足百合的男人不如去死!?,exact_normalized_title_unique,title:插足百合的男人不如去死!?,unique exact normalized title match
seed-0020-17歳と-18以上-後輩ギャルは私と-を知りたいらしい,17歳と、18以上 〜後輩ギャルは私と××を知りたいらしい〜,mgv2-01213-17歳と-18以上-後輩ギャルは私と-を知りたいらしい,17歳と、18以上 〜後輩ギャルは私と××を知りたいらしい〜,exact_normalized_title_unique,title:17歳と、18以上 〜後輩ギャルは私と××を知りたいらしい〜,unique exact normalized title match
seed-0021-愛していいのは-カラダだけ,愛していいのは、カラダだけ,mgv2-01174-愛していいのは-カラダだけ,愛していいのは、カラダだけ,exact_normalized_title_unique,title:愛していいのは、カラダだけ,unique exact normalized title match
seed-0022-百合婚姻介绍所,百合婚姻介绍所,mgv2-01024-百合婚姻介绍所,百合婚姻介绍所,exact_normalized_title_unique,title:百合婚姻介绍所,unique exact normalized title match
seed-0023-百合smでふたりの気持ちはつながりますか-1巻,百合SMでふたりの気持ちはつながりますか? 1巻,mgv2-01160-百合smでふたりの気持ちはつながりますか-1巻,百合SMでふたりの気持ちはつながりますか? 1巻,exact_normalized_title_unique,title:百合SMでふたりの気持ちはつながりますか? 1巻,unique exact normalized title match
seed-0024-百合の恋香に誘われて-蜜姫たちの不均衡な執愛,百合の恋香に誘われて~蜜姫たちの不均衡な執愛~,mgv2-01209-百合の恋香に誘われて-蜜姫たちの不均衡な執愛,百合の恋香に誘われて~蜜姫たちの不均衡な執愛~,exact_normalized_title_unique,title:百合の恋香に誘われて~蜜姫たちの不均衡な執愛~,unique exact normalized title match
seed-0027-不知何时的memoraĵo,不知何时的Memoraĵo,mgv2-01091-不知何时的memoraĵo,不知何时的Memoraĵo,exact_normalized_title_unique,title:不知何时的Memoraĵo,unique exact normalized title match
seed-0028-黑暗中的仪式,黑暗中的仪式,mgv2-01020-黑暗中的仪式,黑暗中的仪式,exact_normalized_title_unique,title:黑暗中的仪式,unique exact normalized title match
seed-0029-回溯依存,回溯依存,mgv2-01079-回溯依存,回溯依存,exact_normalized_title_unique,title:回溯依存,unique exact normalized title match
seed-0030-加雷利亚地下迷宫与魔女的旅团,加雷利亚地下迷宫与魔女的旅团,mgv2-01110-加雷利亚地下迷宫与魔女的旅团,加雷利亚地下迷宫与魔女的旅团,exact_normalized_title_unique,title:加雷利亚地下迷宫与魔女的旅团,unique exact normalized title match
seed-0031-空梦,空梦,mgv2-01014-空梦,空梦,exact_normalized_title_unique,title:空梦,unique exact normalized title match
seed-0032-裏世界ピクニックふたりの怪異探検ファイル-ハヤカワ文庫ja,裏世界ピクニックふたりの怪異探検ファイル (ハヤカワ文庫JA),mgv2-01222-裏世界ピクニックふたりの怪異探検ファイル-ハヤカワ文庫ja,裏世界ピクニックふたりの怪異探検ファイル (ハヤカワ文庫JA),exact_normalized_title_unique,title:裏世界ピクニックふたりの怪異探検ファイル (ハヤカワ文庫JA),unique exact normalized title match
seed-0033-恋人はかわいい彼女,恋人はかわいい彼女,mgv2-01204-恋人はかわいい彼女,恋人はかわいい彼女,exact_normalized_title_unique,title:恋人はかわいい彼女,unique exact normalized title match
seed-0034-魔法少女的魔女审判,魔法少女的魔女审判,mgv2-01077-魔法少女的魔女审判,魔法少女的魔女审判,exact_normalized_title_unique,title:魔法少女的魔女审判,unique exact normalized title match
seed-0035-溺愛理想主義-岩見樹代子作品集,溺愛理想主義~岩見樹代子作品集~,mgv2-01170-溺愛理想主義-岩見樹代子作品集,溺愛理想主義~岩見樹代子作品集~,exact_normalized_title_unique,title:溺愛理想主義~岩見樹代子作品集~,unique exact normalized title match
seed-0036-溺れるベッドで-天使の寝顔を見たいだけ-ふたりで犯した秘密の校則違反,溺れるベッドで、天使の寝顔を見たいだけ。 #ふたりで犯した秘密の校則違反,mgv2-01197-溺れるベッドで-天使の寝顔を見たいだけ-ふたりで犯した秘密の校則違反,溺れるベッドで、天使の寝顔を見たいだけ。 #ふたりで犯した秘密の校則違反,exact_normalized_title_unique,title:溺れるベッドで、天使の寝顔を見たいだけ。 #ふたりで犯した秘密の校則違反,unique exact normalized title match
seed-0037-女同士とかありえないでしょと言い張る女の子を-百日間で徹底的に落とす百合のお話-ga文庫,女同士とかありえないでしょと言い張る女の子を、百日間で徹底的に落とす百合のお話 (GA文庫),mgv2-01221-女同士とかありえないでしょと言い張る女の子を-百日間で徹底的に落とす百合のお話-ga文庫,女同士とかありえないでしょと言い張る女の子を、百日間で徹底的に落とす百合のお話 (GA文庫),exact_normalized_title_unique,title:女同士とかありえないでしょと言い張る女の子を、百日間で徹底的に落とす百合のお話 (GA文庫),unique exact normalized title match
seed-0038-女装少年短发妹,女装少年短发妹,mgv2-01146-女装少年短发妹,女装少年短发妹,exact_normalized_title_unique,title:女装少年短发妹,unique exact normalized title match
seed-0040-深红之歌,深红之歌,mgv2-01068-深红之歌,深红之歌,exact_normalized_title_unique,title:深红之歌,unique exact normalized title match
seed-0041-沈める楽園,沈める楽園,mgv2-01038-沈める楽園,沈める楽園,exact_normalized_title_unique,title:沈める楽園,unique exact normalized title match
seed-0042-私の百合はお仕事です-1,私の百合はお仕事です!: 1,mgv2-01190-私の百合はお仕事です-1,私の百合はお仕事です!: 1,exact_normalized_title_unique,title:私の百合はお仕事です!: 1,unique exact normalized title match
seed-0043-私のことが大好きなクラスメイトに初めてを全部押し付ける話,私のことが大好きなクラスメイトに初めてを全部押し付ける話,mgv2-01215-私のことが大好きなクラスメイトに初めてを全部押し付ける話,私のことが大好きなクラスメイトに初めてを全部押し付ける話,exact_normalized_title_unique,title:私のことが大好きなクラスメイトに初めてを全部押し付ける話,unique exact normalized title match
seed-0045-丸子与银河龙,丸子与银河龙,mgv2-01113-丸子与银河龙,丸子与银河龙,exact_normalized_title_unique,title:丸子与银河龙,unique exact normalized title match
seed-0046-我的猫娘恋人,我的猫娘恋人,mgv2-01148-我的猫娘恋人,我的猫娘恋人,exact_normalized_title_unique,title:我的猫娘恋人,unique exact normalized title match
seed-0047-我只想单身,我只想单身!,mgv2-01023-我只想单身,我只想单身!,exact_normalized_title_unique,title:我只想单身!,unique exact normalized title match
seed-0048-系于你的红丝带,系于你的红丝带,mgv2-01019-系于你的红丝带,系于你的红丝带,exact_normalized_title_unique,title:系于你的红丝带,unique exact normalized title match
seed-0049-心象天仪本线-per-aspera-ad-astra,心象天仪本线 Per aspera ad astra,mgv2-01060-心象天仪本线-per-aspera-ad-astra,心象天仪本线 Per aspera ad astra,exact_normalized_title_unique,title:心象天仪本线 Per aspera ad astra,unique exact normalized title match
seed-0050-血色逆旅-我们之间的高墙,血色逆旅:我们之间的高墙,mgv2-01049-血色逆旅-我们之间的高墙,血色逆旅:我们之间的高墙,exact_normalized_title_unique,title:血色逆旅:我们之间的高墙,unique exact normalized title match
seed-0051-樱花神社的女孩们,樱花神社的女孩们,mgv2-01002-樱花神社的女孩们,樱花神社的女孩们,exact_normalized_title_unique,title:樱花神社的女孩们,unique exact normalized title match
seed-0052-athena,AthenA,mgv2-01100-athena,AthenA,exact_normalized_title_unique,title:AthenA,unique exact normalized title match
seed-0053-chasing-tails-雪中誓约,Chasing Tails 〜雪中誓约〜,mgv2-01157-chasing-tails-雪中誓约,Chasing Tails 〜雪中誓约〜,exact_normalized_title_unique,title:Chasing Tails 〜雪中誓约〜,unique exact normalized title match
seed-0054-glow-of-honeydew,Glow of Honeydew,mgv2-01074-glow-of-honeydew,Glow of Honeydew,exact_normalized_title_unique,title:Glow of Honeydew,unique exact normalized title match
seed-0055-her-love-like-poison,"Her Love, Like Poison",mgv2-01066-her-love-like-poison,"Her Love, Like Poison",exact_normalized_title_unique,"title:Her Love, Like Poison",unique exact normalized title match
seed-0056-hyper-euphoria-全能私立侦探社,Hyper Euphoria 全能私立侦探社,mgv2-01098-hyper-euphoria-全能私立侦探社,Hyper Euphoria 全能私立侦探社,exact_normalized_title_unique,title:Hyper Euphoria 全能私立侦探社,unique exact normalized title match
seed-0057-lab-still-alive,LAB-Still Alive-,mgv2-01123-lab-still-alive,LAB-Still Alive-,exact_normalized_title_unique,title:LAB-Still Alive-,unique exact normalized title match
seed-0058-lackgirl-i-astra-inclinant-sed-non-obligant,"LACKGIRL I - “Astra inclinant, sed non obligant.”",mgv2-01125-lackgirl-i-astra-inclinant-sed-non-obligant,"LACKGIRL I - “Astra inclinant, sed non obligant.”",exact_normalized_title_unique,"title:LACKGIRL I - “Astra inclinant, sed non obligant.”",unique exact normalized title match
seed-0059-little-secret,Little Secret,mgv2-01046-little-secret,Little Secret,exact_normalized_title_unique,title:Little Secret,unique exact normalized title match
seed-0060-medusa,Medusa,mgv2-01101-medusa,Medusa,exact_normalized_title_unique,title:Medusa,unique exact normalized title match
seed-0061-murciélago-ムルシエラゴ-1巻,MURCIÉLAGO -ムルシエラゴ- 1巻,mgv2-01166-murciélago-ムルシエラゴ-1巻,MURCIÉLAGO -ムルシエラゴ- 1巻,exact_normalized_title_unique,title:MURCIÉLAGO -ムルシエラゴ- 1巻,unique exact normalized title match
seed-0062-red-rebellion,Red Rebellion,mgv2-01064-red-rebellion,Red Rebellion,exact_normalized_title_unique,title:Red Rebellion,unique exact normalized title match
seed-0063-summer-in-trigue,Summer In Trigue,mgv2-01032-summer-in-trigue,Summer In Trigue,exact_normalized_title_unique,title:Summer In Trigue,unique exact normalized title match
seed-0064-your-glass-heart-in-my-hands,Your glass heart in my hands,mgv2-01070-your-glass-heart-in-my-hands,Your glass heart in my hands,exact_normalized_title_unique,title:Your glass heart in my hands,unique exact normalized title match
seed-0067-ケンカ百合は営業です,ケンカ百合は営業です,mgv2-01203-ケンカ百合は営業です,ケンカ百合は営業です,exact_normalized_title_unique,title:ケンカ百合は営業です,unique exact normalized title match
seed-0068-メイドに力負けするなんて恥ずかしくないんですか,メイドに力負けするなんて恥ずかしくないんですか?,mgv2-01217-メイドに力負けするなんて恥ずかしくないんですか,メイドに力負けするなんて恥ずかしくないんですか?,exact_normalized_title_unique,title:メイドに力負けするなんて恥ずかしくないんですか?,unique exact normalized title match
