seedId,canonicalReviewTitle,reviewGroupKey,mediaTypes,currentRatingGrade,currentRatingClass,confidence,reviewStatus,reason,localWorkKeys
seed-0001-捏造トラップ-ntr-捏造陷阱-ntr-捏造トラップ-ntr,捏造トラップ -NTR- / 捏造陷阱 -NTR- / 捏造トラップ―NTR―,radar-decision-nezou-trap-001,,E,E-MALE-INTIMACY,medium,needs_review,no exact title or localWorkKey match,
seed-0002-出轨-ntr百合短篇集,出轨・NTR百合短篇集,出轨・NTR百合短篇集,,F,F-MALE-NTR,low,needs_review,weak row localWorkKey match only and no exact title match,row-912
seed-0003-解放区-痴漢ハーレム,解放区 ~痴漢ハーレム~,解放区 ~痴漢ハーレム~,ANIME,E,E-MALE-POSSIBILITY,low,needs_review,no exact title or localWorkKey match,ANIME-119810
seed-0004-僕にハーレムセフレが出来た理由,僕にハーレムセフレが出来た理由,僕にハーレムセフレが出来た理由,ANIME,E,E-MALE-POSSIBILITY,low,needs_review,no exact title or localWorkKey match,ANIME-176707
seed-0005-寝取られファイター-ヤリっちんぐ,寝取られファイター ヤリっちんぐ!,寝取られファイター ヤリっちんぐ!,ANIME,F,F-MALE-NTR,low,needs_review,no exact title or localWorkKey match,ANIME-9008
seed-0006-異世界ハーレム物語,異世界ハーレム物語,異世界ハーレム物語,ANIME,E,E-MALE-POSSIBILITY,low,needs_review,no exact title or localWorkKey match,ANIME-118166
seed-0007-桜宮姉妹のネトラレ記録,桜宮姉妹のネトラレ記録,桜宮姉妹のネトラレ記録,ANIME,F,F-MALE-NTR,low,needs_review,no exact title or localWorkKey match,ANIME-108411
seed-0008-終末のハーレム,終末のハーレム,終末のハーレム,ANIME,E,E-MALE-POSSIBILITY,low,needs_review,no exact title or localWorkKey match,ANIME-118465
seed-0009-転生剣奴の子作り闘技場-ハーレムコロッセオ,転生剣奴の子作り闘技場[ハーレムコロッセオ],転生剣奴の子作り闘技場[ハーレムコロッセオ],ANIME,E,E-MALE-POSSIBILITY,low,needs_review,no exact title or localWorkKey match,ANIME-98434
seed-0010-おにちちハーレム,おにちちハーレム,おにちちハーレム,ANIME,E,E-MALE-POSSIBILITY,low,needs_review,no exact title or localWorkKey match,ANIME-180832
seed-0011-キミはやさしく寝取られる-the-animation,キミはやさしく寝取られる The Animation,キミはやさしく寝取られる The Animation,ANIME,F,F-MALE-NTR,low,needs_review,no exact title or localWorkKey match,ANIME-142117
seed-0012-デモンズハーレム,デモンズハーレム,デモンズハーレム,MANGA,E,E-MALE-POSSIBILITY,low,needs_review,no exact title or localWorkKey match,MANGA-105983
seed-0013-ハーレム-カルト-side-harem,ハーレム・カルト side HAREM,ハーレム・カルト side HAREM,ANIME,E,E-MALE-POSSIBILITY,low,needs_review,no exact title or localWorkKey match,ANIME-144996
seed-0014-ハーレム漫画の主人公だが同性愛者-ゲイ-なので毎日がつらい,ハーレム漫画の主人公だが同性愛者〈ゲイ〉なので毎日がつらい,ハーレム漫画の主人公だが同性愛者〈ゲイ〉なので毎日がつらい,MANGA,E,E-MALE-POSSIBILITY,low,needs_review,no exact title or localWorkKey match,MANGA-86327
seed-0015-ハーレムタイム-the-animation,ハーレムタイム THE ANIMATION,ハーレムタイム THE ANIMATION,ANIME,E,E-MALE-POSSIBILITY,low,needs_review,no exact title or localWorkKey match,ANIME-14991
seed-0016-ボーイ-ミーツ-ハーレム-the-animation,ボーイ・ミーツ・ハーレム THE ANIMATION,ボーイ・ミーツ・ハーレム THE ANIMATION,ANIME,E,E-MALE-POSSIBILITY,low,needs_review,no exact title or localWorkKey match,ANIME-21503
seed-0025-暴れん坊-彼氏,暴れん坊♥彼氏,暴れん坊♥彼氏,MANGA,E,E-MALE-POSSIBILITY,low,needs_review,no exact title or localWorkKey match,MANGA-51077
seed-0026-彼氏彼女の事情,彼氏彼女の事情,彼氏彼女の事情,ANIME,E,E-MALE-POSSIBILITY,low,needs_review,no exact title or localWorkKey match,ANIME-145
seed-0039-僕のセクシャルハラスメント,僕のセクシャルハラスメント,僕のセクシャルハラスメント,ANIME,E,E-GENERAL,low,needs_review,no exact title or localWorkKey match,ANIME-755
seed-0044-死んだ彼氏が女子高生になって帰ってきた,死んだ彼氏が女子高生になって帰ってきた,死んだ彼氏が女子高生になって帰ってきた,MANGA,E,E-MALE-POSSIBILITY,low,needs_review,no exact title or localWorkKey match,MANGA-103674
seed-0065-アールジュウハチ,アールジュウハチ!,アールジュウハチ!,MANGA,E,E-GENERAL,low,needs_review,no exact title or localWorkKey match,MANGA-52714
seed-0066-おとなになっても,おとなになっても,おとなになっても,MANGA,E,E-GENERAL,low,needs_review,no exact title or localWorkKey match,MANGA-105675
